section,category,filename,prompt
01,Background and board,background_forest_main.png,"Create a premium mobile game background asset for a cozy magical forest match-3 puzzle game. Create a main magical forest gameplay background with soft moss, warm sunlight, gentle depth, subtle flowers, leaves, and cozy atmosphere. Use the same handcrafted premium casual-game style as the rest of the game: soft painted textures, rounded shapes, matte finish, subtle shading, gentle highlights, cozy magical forest color harmony, polished mobile game quality, clean silhouette, and high readability at small size. The center should support readable gameplay and not compete with the board. No text, no UI, no characters unless specified."
01,Background and board,ui_overlay_dark.png,"Create a premium mobile game UI overlay asset for a cozy magical forest match-3 puzzle game. Create a soft dark transparent modal overlay for dimming the game background behind popups. Use the same handcrafted premium casual-game style as the rest of the game: soft painted textures, rounded shapes, matte finish, subtle shading, gentle highlights, cozy magical forest color harmony, polished mobile game quality, clean silhouette, and high readability at small size. Use deep forest green-black transparency, gentle vignette feel, calm premium mood. Transparent PNG, no text, no background."
01,Background and board,ui_overlay_blur.png,"Create a premium mobile game UI overlay asset for a cozy magical forest match-3 puzzle game. Create a soft translucent blur overlay for modal states, using subtle frosted forest-green tint. Use the same handcrafted premium casual-game style as the rest of the game: soft painted textures, rounded shapes, matte finish, subtle shading, gentle highlights, cozy magical forest color harmony, polished mobile game quality, clean silhouette, and high readability at small size. It should help popups stand out without feeling harsh. Transparent PNG, no text, no background."
01,Background and board,board_container.png,"Create a premium mobile game UI panel asset for a cozy magical forest match-3 puzzle game. Create a main match-3 board container plate with rounded moss-stone or carved wood frame, designed to hold a square grid. Use the same handcrafted premium casual-game style as the rest of the game: soft painted textures, rounded shapes, matte finish, subtle shading, gentle highlights, cozy magical forest color harmony, polished mobile game quality, clean silhouette, and high readability at small size. Leave layout areas empty for in-game text and icons to be added later. The center should be open/empty for the gameplay grid. Transparent PNG, no text, no background."
01,Background and board,board_inner_surface.png,"Create a premium mobile game UI panel asset for a cozy magical forest match-3 puzzle game. Create a calm board inner surface for the grid area, with subtle moss-stone texture, soft inset shadow, and low-contrast separators. Use the same handcrafted premium casual-game style as the rest of the game: soft painted textures, rounded shapes, matte finish, subtle shading, gentle highlights, cozy magical forest color harmony, polished mobile game quality, clean silhouette, and high readability at small size. Leave layout areas empty for in-game text and icons to be added later. No tiles included. Transparent PNG, no text, no background."
01,Background and board,board_rim.png,"Create a premium mobile game overlay asset for a cozy magical forest match-3 puzzle game. Create a soft outer board rim or border with moss-stone/carved wood details and tiny leaf accents. Use the same handcrafted premium casual-game style as the rest of the game: soft painted textures, rounded shapes, matte finish, subtle shading, gentle highlights, cozy magical forest color harmony, polished mobile game quality, clean silhouette, and high readability at small size. The asset must sit on top of an existing tile, not include its own tile base. Orthographic top-down view, perfectly centered, no perspective, no rotation, grid-ready, readable at 64x64 pixels. Designed to frame the board without covering tiles. Transparent PNG, no text, no background."
01,Background and board,board_shadow.png,"Create a premium mobile game overlay asset for a cozy magical forest match-3 puzzle game. Create a large soft shadow layer under the board container to make the board sit naturally in the forest scene. Use the same handcrafted premium casual-game style as the rest of the game: soft painted textures, rounded shapes, matte finish, subtle shading, gentle highlights, cozy magical forest color harmony, polished mobile game quality, clean silhouette, and high readability at small size. The asset must sit on top of an existing tile, not include its own tile base. Orthographic top-down view, perfectly centered, no perspective, no rotation, grid-ready, readable at 64x64 pixels. Very subtle, soft, premium, not harsh. Transparent PNG, no text, no background."
01,Background and board,board_grid_separators.png,"Create a premium mobile game overlay asset for a cozy magical forest match-3 puzzle game. Create subtle grid separator lines for a match-3 board, soft sage-green grooves with low contrast. Use the same handcrafted premium casual-game style as the rest of the game: soft painted textures, rounded shapes, matte finish, subtle shading, gentle highlights, cozy magical forest color harmony, polished mobile game quality, clean silhouette, and high readability at small size. The asset must sit on top of an existing tile, not include its own tile base. Orthographic top-down view, perfectly centered, no perspective, no rotation, grid-ready, readable at 64x64 pixels. Should separate cells without making the board noisy. Transparent PNG, no text, no background."
01,Background and board,board_empty_area.png,"Create a premium mobile game overlay asset for a cozy magical forest match-3 puzzle game. Create an empty board area mask/state for cells without tiles, using muted moss-stone darkness and soft inner shadow. Use the same handcrafted premium casual-game style as the rest of the game: soft painted textures, rounded shapes, matte finish, subtle shading, gentle highlights, cozy magical forest color harmony, polished mobile game quality, clean silhouette, and high readability at small size. The asset must sit on top of an existing tile, not include its own tile base. Orthographic top-down view, perfectly centered, no perspective, no rotation, grid-ready, readable at 64x64 pixels. Designed for non-playable empty spaces. Transparent PNG, no text, no background."
01,Background and board,board_blocked_area.png,"Create a premium mobile game overlay asset for a cozy magical forest match-3 puzzle game. Create a blocked board area state for non-playable cells, using muted stone, moss, and low-contrast texture. Use the same handcrafted premium casual-game style as the rest of the game: soft painted textures, rounded shapes, matte finish, subtle shading, gentle highlights, cozy magical forest color harmony, polished mobile game quality, clean silhouette, and high readability at small size. The asset must sit on top of an existing tile, not include its own tile base. Orthographic top-down view, perfectly centered, no perspective, no rotation, grid-ready, readable at 64x64 pixels. It should read as unavailable but still cozy. Transparent PNG, no text, no background."
