filename,prompt
ui_button_primary.png,"Create a premium mobile game UI button asset for a cozy magical forest match-3 puzzle game. Create a primary button background with a soft rounded rectangular shape, deep moss-green fill, subtle golden rim light, gentle bevel, matte hand-painted texture, soft inner highlight, and premium casual puzzle game polish. Designed for important actions like start, continue, claim, and next level. No text, no icon, transparent PNG, no background."
ui_button_secondary.png,"Create a premium mobile game UI button asset for a cozy magical forest match-3 puzzle game. Create a secondary button background with a soft rounded rectangular shape, pale sage-green or warm parchment fill, subtle moss-green border, gentle bevel, matte hand-painted texture, soft shadows, and premium casual puzzle game polish. Designed for less important actions like back, cancel, play again, or share. No text, no icon, transparent PNG, no background."
ui_button_disabled.png,"Create a premium mobile game UI button asset for a cozy magical forest match-3 puzzle game. Create a disabled button background with a soft rounded rectangular shape, muted desaturated sage-gray color, low contrast, subtle bevel, matte hand-painted texture, gentle shadow, and premium casual puzzle game polish. It should clearly feel inactive but still match the cozy forest UI style. No text, no icon, transparent PNG, no background."
ui_button_close.png,"Create a premium mobile game UI close button asset for a cozy magical forest match-3 puzzle game. Create a small circular close button with a soft moss-green or carved wood frame, warm cream center, and a simple clean X symbol made from leaf-like strokes. Use matte hand-painted texture, gentle bevel, soft shadows, and premium casual puzzle game polish. Transparent PNG, no text, no background."
ui_button_play.png,"Create a premium mobile game UI play button asset for a cozy magical forest match-3 puzzle game. Create a rounded circular or pill-shaped play button with a deep moss-green fill, soft golden rim, gentle bevel, and a simple cream-colored play triangle icon in the center. Use matte hand-painted texture, subtle highlights, soft shadows, and premium casual puzzle game polish. Transparent PNG, no text, no background."
ui_button_retry.png,"Create a premium mobile game UI retry button asset for a cozy magical forest match-3 puzzle game. Create a rounded button with a soft sage-green or moss-green fill, subtle golden edge, gentle bevel, and a simple circular retry arrow icon in the center. Use handcrafted painted texture, soft shading, cozy forest color harmony, and premium casual puzzle game polish. Transparent PNG, no text, no background."
ui_button_continue.png,"Create a premium mobile game UI continue button asset for a cozy magical forest match-3 puzzle game. Create a rounded primary-style button with deep moss-green fill, subtle golden rim light, gentle bevel, and a simple forward arrow or leaf-arrow icon in the center. Use matte hand-painted texture, soft highlights, and premium casual puzzle game polish. Transparent PNG, no text, no background."
ui_button_challenge_friend.png,"Create a premium mobile game UI challenge friend button asset for a cozy magical forest match-3 puzzle game. Create a friendly rounded button with warm moss-green fill, subtle golden accent, gentle bevel, and a simple icon showing two small friendly avatar circles or leaf characters facing each other. The mood should feel playful social challenge, not aggressive. Matte hand-painted texture, soft shadows, premium casual puzzle polish. Transparent PNG, no text, no background."
ui_button_claim.png,"Create a premium mobile game UI claim button asset for a cozy magical forest match-3 puzzle game. Create a rewarding primary button with deep moss-green fill, warm golden rim light, gentle sparkle accents, soft bevel, and a small simple reward sparkle or basket icon in the center. It should feel satisfying and generous. Matte hand-painted texture, soft shading, premium casual puzzle polish. Transparent PNG, no text, no background."
ui_button_equip.png,"Create a premium mobile game UI equip button asset for a cozy magical forest match-3 puzzle game. Create a rounded wardrobe-action button with soft moss-green fill, subtle golden accent, gentle bevel, and a simple outfit or hanger icon in the center. It should feel collectible, cozy, and polished. Matte hand-painted texture, soft shadows, premium casual puzzle game quality. Transparent PNG, no text, no background."
